港澳,#genre#
VIUTV,http://r.jdshipin.com/vSJvl
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOYTV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOYTV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
翡翠台,http://php.jdshipin.com:2096/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:2096/smt.php?id=jade_twn
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVBPlus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVBPlus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
TVB星河, http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
千禧经典, http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
翡翠剧集,https://6.cdn.loc.cc/163189.php?id=tvbd
TVB1, https://6.cdn.loc.cc/163189.php?id=tvb1
新闻,#genre#
無綫新聞,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
無綫新聞,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
無綫新聞,http://r.jdshipin.com/CkuBd
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2

体育,#genre#
CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV5,http://153.0.171.163:85/tsfile/live/0005_1.m3u8
CCTV5+,http://153.0.171.163:85/tsfile/live/1015_1.m3u8
CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8
广东体育,http://110.72.73.77:8181/tsfile/live/1003_1.m3u8
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty

卫视,#genre#
浙江卫视,http://153.0.171.163:85/tsfile/live/0124_1.m3u8?key=txiptv 
湖南卫视,http://153.0.171.163:85/tsfile/live/0128_1.m3u8?key=txiptv 
北京卫视,http://153.0.171.163:85/tsfile/live/0122_1.m3u8?key=txiptv 
东方卫视,http://153.0.171.163:85/tsfile/live/0107_1.m3u8?key=txiptv 
广东卫视,http://153.0.171.163:85/tsfile/live/0125_1.m3u8?key=txiptv 
深圳卫视,http://153.0.171.163:85/tsfile/live/0126_1.m3u8?key=txiptv 

央视,#genre#
CCTV1,http://153.0.171.163:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://153.0.171.163:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://153.0.171.163:85/tsfile/live/1002_1.m3u8?key=txiptv
CCTV4,http://153.0.171.163:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV6,http://153.0.171.163:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://153.0.171.163:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8?key=txiptv
CCTV9,http://153.0.171.163:85/tsfile/live/1008_1.m3u8?key=txiptv
CCTV10,http://153.0.171.163:85/tsfile/live/1009_1.m3u8?key=txiptv
CCTV11,http://153.0.171.163:85/tsfile/live/1010_1.m3u8?key=txiptv
CCTV12,http://153.0.171.163:85/tsfile/live/1011_1.m3u8?key=txiptv
CCTV13,http://153.0.171.163:85/tsfile/live/1012_1.m3u8?key=txiptv
CCTV14,http://153.0.171.163:85/tsfile/live/1013_1.m3u8?key=txiptv
CCTV15,http://153.0.171.163:85/tsfile/live/1014_1.m3u8?key=txiptv
